ts,alg,p,msg_bytes,frame_bits_len,status,syndrome,ok_text_match
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,116,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,97,1
1755399458,HAM,0.02,16,136,CORRECTED,1,1
1755399458,HAM,0.02,16,136,CORRECTED,99,1
1755399458,HAM,0.02,16,136,CORRECTED,20,0
1755399458,HAM,0.02,16,136,CORRECTED,34,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,52,0
1755399458,HAM,0.02,16,136,CORRECTED,72,0
1755399458,HAM,0.02,16,136,CORRECTED,13,0
1755399458,HAM,0.02,16,136,CORRECTED,88,0
1755399458,HAM,0.02,16,136,CORRECTED,5,0
1755399458,HAM,0.02,16,136,CORRECTED,122,0
1755399458,HAM,0.02,16,136,CORRECTED,40,0
1755399458,HAM,0.02,16,136,CORRECTED,31,0
1755399458,HAM,0.02,16,136,CORRECTED,79,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,24,0
1755399458,HAM,0.02,16,136,CORRECTED,7,0
1755399458,HAM,0.02,16,136,CORRECTED,13,0
1755399458,HAM,0.02,16,136,CORRECTED,84,0
1755399458,HAM,0.02,16,136,CORRECTED,116,1
1755399458,HAM,0.02,16,136,CORRECTED,43,0
1755399458,HAM,0.02,16,136,CORRECTED,21,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,82,0
1755399458,HAM,0.02,16,136,CORRECTED,129,1
1755399458,HAM,0.02,16,136,CORRECTED,34,0
1755399458,HAM,0.02,16,136,CORRECTED,114,0
1755399458,HAM,0.02,16,136,CORRECTED,68,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,104,0
1755399458,HAM,0.02,16,136,CORRECTED,39,0
1755399458,HAM,0.02,16,136,CORRECTED,119,0
1755399458,HAM,0.02,16,136,CORRECTED,30,0
1755399458,HAM,0.02,16,136,CORRECTED,113,1
1755399458,HAM,0.02,16,136,CORRECTED,103,0
1755399458,HAM,0.02,16,136,CORRECTED,81,0
1755399458,HAM,0.02,16,136,CORRECTED,62,1
1755399458,HAM,0.02,16,136,CORRECTED,35,0
1755399458,HAM,0.02,16,136,CORRECTED,19,0
1755399458,HAM,0.02,16,136,CORRECTED,42,0
1755399458,HAM,0.02,16,136,CORRECTED,112,0
1755399458,HAM,0.02,16,136,CORRECTED,94,0
1755399458,HAM,0.02,16,136,CORRECTED,108,0
1755399458,HAM,0.02,16,136,CORRECTED,111,0
1755399458,HAM,0.02,16,136,CORRECTED,66,0
1755399458,HAM,0.02,16,136,CORRECTED,75,0
1755399458,HAM,0.02,16,136,CORRECTED,3,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,82,0
1755399458,HAM,0.02,16,136,CORRECTED,28,1
1755399458,HAM,0.02,16,136,CORRECTED,30,0
1755399458,HAM,0.02,16,136,CORRECTED,68,0
1755399458,HAM,0.02,16,136,CORRECTED,122,0
1755399458,HAM,0.02,16,136,CORRECTED,117,0
1755399458,HAM,0.02,16,136,CORRECTED,86,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,37,0
1755399458,HAM,0.02,16,136,CORRECTED,61,0
1755399458,HAM,0.02,16,136,CORRECTED,71,0
1755399458,HAM,0.02,16,136,CORRECTED,85,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,30,1
1755399458,HAM,0.02,16,136,CORRECTED,107,0
1755399458,HAM,0.02,16,136,CORRECTED,97,0
1755399458,HAM,0.02,16,136,CORRECTED,96,1
1755399458,HAM,0.02,16,136,CORRECTED,83,0
1755399458,HAM,0.02,16,136,CORRECTED,94,0
1755399458,HAM,0.02,16,136,CORRECTED,34,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,99,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,20,0
1755399458,HAM,0.02,16,136,CORRECTED,71,1
1755399458,HAM,0.02,16,136,CORRECTED,37,0
1755399458,HAM,0.02,16,136,CORRECTED,77,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,14,0
1755399458,HAM,0.02,16,136,CORRECTED,23,1
1755399458,HAM,0.02,16,136,CORRECTED,47,1
1755399458,HAM,0.02,16,136,CORRECTED,31,0
1755399458,HAM,0.02,16,136,CORRECTED,34,0
1755399458,HAM,0.02,16,136,CORRECTED,71,1
1755399458,HAM,0.02,16,136,CORRECTED,34,0
1755399458,HAM,0.02,16,136,CORRECTED,39,0
1755399458,HAM,0.02,16,136,CORRECTED,40,0
1755399458,HAM,0.02,16,136,CORRECTED,95,0
1755399458,HAM,0.02,16,136,CORRECTED,92,0
1755399458,HAM,0.02,16,136,CORRECTED,57,0
1755399458,HAM,0.02,16,136,CORRECTED,37,0
1755399458,HAM,0.02,16,136,CORRECTED,67,0
1755399458,HAM,0.02,16,136,CORRECTED,123,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,114,0
1755399458,HAM,0.02,16,136,CORRECTED,7,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,121,1
1755399458,HAM,0.02,16,136,CORRECTED,27,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,28,0
1755399458,HAM,0.02,16,136,CORRECTED,36,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,33,0
1755399458,HAM,0.02,16,136,CORRECTED,53,0
1755399458,HAM,0.02,16,136,CORRECTED,107,0
1755399458,HAM,0.02,16,136,CORRECTED,39,0
1755399458,HAM,0.02,16,136,CORRECTED,36,0
1755399458,HAM,0.02,16,136,CORRECTED,32,1
1755399458,HAM,0.02,16,136,CORRECTED,52,0
1755399458,HAM,0.02,16,136,CORRECTED,115,0
1755399458,HAM,0.02,16,136,CORRECTED,91,0
1755399458,HAM,0.02,16,136,CORRECTED,61,0
1755399458,HAM,0.02,16,136,CORRECTED,91,0
1755399458,HAM,0.02,16,136,CORRECTED,134,0
1755399458,HAM,0.02,16,136,CORRECTED,74,0
1755399458,HAM,0.02,16,136,CORRECTED,98,0
1755399458,HAM,0.02,16,136,CORRECTED,123,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,83,0
1755399458,HAM,0.02,16,136,CORRECTED,121,0
1755399458,HAM,0.02,16,136,CORRECTED,106,0
1755399458,HAM,0.02,16,136,CORRECTED,50,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,125,0
1755399458,HAM,0.02,16,136,CORRECTED,97,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,54,0
1755399458,HAM,0.02,16,136,CORRECTED,98,0
1755399458,HAM,0.02,16,136,CORRECTED,66,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,41,0
1755399458,HAM,0.02,16,136,CORRECTED,42,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,89,0
1755399458,HAM,0.02,16,136,CORRECTED,95,0
1755399458,HAM,0.02,16,136,CORRECTED,115,1
1755399458,HAM,0.02,16,136,CORRECTED,80,1
1755399458,HAM,0.02,16,136,CORRECTED,73,0
1755399458,HAM,0.02,16,136,CORRECTED,75,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,82,0
1755399458,HAM,0.02,16,136,CORRECTED,98,0
1755399458,HAM,0.02,16,136,CORRECTED,63,1
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,80,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,121,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,46,0
1755399458,HAM,0.02,16,136,CORRECTED,55,1
1755399458,HAM,0.02,16,136,CORRECTED,86,0
1755399458,HAM,0.02,16,136,CORRECTED,69,0
1755399458,HAM,0.02,16,136,CORRECTED,2,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,37,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,48,0
1755399458,HAM,0.02,16,136,CORRECTED,119,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,85,1
1755399458,HAM,0.02,16,136,CORRECTED,78,0
1755399458,HAM,0.02,16,136,CORRECTED,73,0
1755399458,HAM,0.02,16,136,CORRECTED,73,0
1755399458,HAM,0.02,16,136,CORRECTED,119,1
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,74,0
1755399458,HAM,0.02,16,136,CORRECTED,73,0
1755399458,HAM,0.02,16,136,CORRECTED,44,1
1755399458,HAM,0.02,16,136,CORRECTED,95,0
1755399458,HAM,0.02,16,136,CORRECTED,128,1
1755399458,HAM,0.02,16,136,CORRECTED,126,0
1755399458,HAM,0.02,16,136,CORRECTED,8,1
1755399458,HAM,0.02,16,136,CORRECTED,109,0
1755399458,HAM,0.02,16,136,CORRECTED,79,0
1755399458,HAM,0.02,16,136,CORRECTED,111,0
1755399458,HAM,0.02,16,136,CORRECTED,77,0
1755399458,HAM,0.02,16,136,DISCARD,,0
1755399458,HAM,0.02,16,136,CORRECTED,90,0
1755399458,HAM,0.02,16,136,CORRECTED,82,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,60,0
1755399458,HAM,0.02,16,136,OK,0,1
1755399458,HAM,0.02,16,136,CORRECTED,81,0
1755399458,HAM,0.02,16,136,CORRECTED,134,1
1755399458,HAM,0.02,16,136,CORRECTED,108,0
1755399458,HAM,0.02,16,136,CORRECTED,30,0
1755399458,HAM,0.02,16,136,CORRECTED,69,0
1755399458,HAM,0.02,16,136,CORRECTED,54,0
1755399458,HAM,0.02,16,136,DISCARD,,0
